Question,Response
எப்படி இருக்கிறீர்கள்,நான் நன்றாக இருக்கிறேன்
நகரங்கள்,சேலம்
,நாமக்கல்
,காஞ்சிபுரம்
,தஞ்சாவூர்
,திருவண்ணாமலை
காஞ்சிபுரம் கோயில்கள்,சோழீஸ்வரர் கோவில்
,திருமேற்றாளி நாதர் கோவில்
,முக்தீஸ்வரர் கோவில்
,காளத்தீஸ்வரர் கோவில்
,கைலாசநாதர் கோவில்
,ஏகாம்பரநாதர் கோவில்
,காஞ்சி காமாட்சி அம்மன் கோவில்
சேலம் கோவில்கள்,கந்தசாமி கோவில்
,கோட்டை மாரியம்மன் கோவில்
,ஊத்துமலை – சத்ய நாராயண சித்தர் பீடம்
,அழகிரிநாதர் கோவில்
,ஸ்ரீ சுகுவனேஸ்வரா ஆலயம்
,உத்தம சோழபுரம்
,தந்தோத்ரீஸ்வரர் கோவில்
காஞ்சிபுரத்தில் உள்ள பரிஹார ஸ்தலங்கள் யாவை,சந்திரேஸ்வரர் கோவில்
,செவந்தீஸ்வரர் கோவில்
,சத்யநாதஐஸ்வரர் - திருக்காலிமேடு கோவில்
,சுக்ரீஸ்வரர் கோவில்
,காயாரோஹனேஸ்வரர் கோவில்
,மணிகண்டேஸ்வரர் கோவில்
,மஹாலேஸ்வரர் கோவில்
,ஆனந்தபத்மநாபேஸ்வரர் கோவில்
பூஜை எப்போது நடைபெறுகின்றது,பூஜை விஶேஷ நாட்களில் அல்லது பிற நேரத்தில் நடைபெறுகின்றது.
கோயிலில் என்ன பிரசாதம் கிடைக்கும்,"கோயிலில் கிடைக்கும் பிரசாதங்கள் பல வகைகள் உள்ளன. அவற்றில் சில: தீர்த்தம், விபூதி, குங்குமம், அர்ச்சனை பிரசாதம், அலங்கார பிரசாதம், ஆராதனை பிரசாதம், பூஜை பிரசாதம், திருமஞ்சனம், பஞ்சாமிர்தம், கற்பூரம், சந்தனம், வில்வம், தூலசி, அருகம்புல்."
கோயிலுக்கு செல்லும் போது என்ன செய்ய வேண்டும்,"கோயிலுக்கு செல்லும் முன், மனதையும் உடலையும் சுத்தம் செய்து கொள்ள வேண்டும். கோயிலுக்குள் நுழையும்போது, இறைவனை வணங்க வேண்டும். கோயிலுக்குள் செருப்புகளை கழற்றிவிட வேண்டும். கோயிலுக்குள் குரலாக பேசக்கூடாது. கோயிலுக்குள் ஓடக்கூடாது. கோயிலுக்குள் அசுத்தமான உடைகளை அணிந்து செல்லக்கூடாது. கோயிலுக்குள் புகைபிடிக்கவோ மது அருந்தவோ கூடாது. கோயிலில் இறைவனுக்கு அபிஷேகம், அலங்காரம், ஆராதனை போன்றவற்றை செய்யலாம். கோயிலில் தரிசனம் முடிந்ததும், இறைவனை வணங்கிவிட்டு வெளியேற வேண்டும்."
